topic,period,pred_ratio,norm_ratio,z_stat,p_value,Cohen's h
2.0,2018,0.0,,,,
2.0,2019,0.0,0.0,,,0.0
2.0,2020,0.0,,,,
2.0,2021,0.48148148148148145,0.0,0.9480324003422907,0.17155647998811613,1.5337508169828047
2.0,2022,0.21428571428571427,0.0,1.1511680893443892,0.12483154522541767,0.962550747884687
2.0,2023,0.025974025974025976,0.0,0.39980014987510937,0.34465186016454463,0.32374111620489343
2.0,2024,0.0893760539629005,0.0,1.4332534321287371,0.07589271242334987,0.607201646676224
2.0,≤2015,0.1,,,,
20.0,2016,0.0,,,,
20.0,2019,,0.0,,,
20.0,2020,,0.0,,,
20.0,2021,,0.0,,,
20.0,2022,0.0,0.14285714285714285,-0.5714285714285714,0.7161454169013237,-0.7751933733103612
20.0,2023,0.0,0.043478260869565216,-0.30122622740328303,0.6183790042527951,-0.42011147814247773
20.0,2024,0.06896551724137931,0.06741573033707865,0.028831395033529772,0.48849953083313796,0.006148268469758467
20.0,≤2015,0.0,0.0,,,0.0
21.0,2018,,0.0,,,
21.0,2020,,0.2222222222222222,,,
21.0,2021,,0.0,,,
21.0,2022,0.0,0.0,,,0.0
21.0,2023,0.0,0.05555555555555555,-0.5403913322979856,0.7055364079451969,-0.47588224966041653
21.0,2024,0.0,0.0,,,0.0
21.0,≤2015,,0.0,,,
22.0,2019,,0.0,,,
22.0,2020,,0.0,,,
22.0,2021,,0.0,,,
22.0,2022,,0.0,,,
22.0,2023,0.0,0.0,,,0.0
22.0,2024,0.0,0.0,,,0.0
23.0,2016,0.0,,,,
23.0,2017,0.0,,,,
23.0,2018,0.0,,,,
23.0,2019,0.0,,,,
23.0,2020,0.0,,,,
23.0,2021,0.0,,,,
23.0,2022,0.0,0.0,,,0.0
23.0,2023,0.0,0.0,,,0.0
23.0,2024,0.08450704225352113,0.0,0.9067693650458262,0.1822643866518205,0.5899186874386239
23.0,≤2015,0.0,,,,
24.0,2016,0.0,,,,
24.0,2017,0.0,,,,
24.0,2018,0.0,0.0,,,0.0
24.0,2019,0.0,0.0,,,0.0
24.0,2020,,0.0,,,
24.0,2021,,0.0,,,
24.0,2022,,0.18181818181818182,,,
24.0,2023,0.0,0.0,,,0.0
24.0,2024,0.0,0.0,,,0.0
25.0,2017,0.0,,,,
25.0,2018,0.0,,,,
25.0,2019,0.0,,,,
25.0,2020,0.0,0.0,,,0.0
25.0,2021,0.0,0.0,,,0.0
25.0,2022,0.0,0.0,,,0.0
25.0,2023,0.0,0.05714285714285714,-0.734013290209436,0.7685296809150881,-0.48276592332573404
25.0,2024,0.0,0.0,,,0.0
26.0,2017,0.0,0.0,,,0.0
26.0,2018,,0.0,,,
26.0,2019,,0.0,,,
26.0,2020,0.0,0.0,,,0.0
26.0,2021,0.0,0.25,-0.566946709513841,0.714624805970913,-1.0471975511965979
26.0,2022,0.0,0.0,,,0.0
26.0,2023,0.0,0.0,,,0.0
26.0,2024,0.0,0.058823529411764705,-0.9901475429766743,0.8389489959355522,-0.4899573262537283
27.0,2017,,0.0,,,
27.0,2018,,0.0,,,
27.0,2019,0.0,0.0,,,0.0
27.0,2020,0.0,0.0,,,0.0
27.0,2021,0.4,0.0,1.5811388300841895,0.056923149003329024,1.369438406004566
27.0,2022,0.0,0.0,,,0.0
27.0,2023,0.0,0.0,,,0.0
27.0,2024,0.0,0.09090909090909091,-2.053480756370319,0.9799870128948742,-0.6125547383393389
27.0,≤2015,0.0,0.0,,,0.0
28.0,2016,,0.0,,,
28.0,2017,,0.0,,,
28.0,2018,,0.0,,,
28.0,2019,0.0,0.0,,,0.0
28.0,2020,,0.0,,,
28.0,2021,,0.0,,,
28.0,2022,0.0,0.0,,,0.0
28.0,2023,0.0,0.0,,,0.0
28.0,2024,0.09523809523809523,0.0,0.9583148474999098,0.16895200955150252,0.6274557729231908
28.0,≤2015,,0.0,,,
3.0,2019,,0.0,,,
3.0,2020,,0.0,,,
3.0,2021,0.0,0.0625,-0.4465476031788346,0.6723991326917429,-0.5053605102841573
3.0,2022,0.0,0.0,,,0.0
3.0,2023,0.0,0.016129032258064516,-0.5426509431328295,0.7063149216736474,-0.25468805426936403
3.0,2024,0.03571428571428571,0.014423076923076924,1.3428461637822082,0.08966089591286563,0.13947781087182898
3.0,≤2015,,0.0,,,
4.0,2016,0.0,,,,
4.0,2017,0.0,,,,
4.0,2019,0.0,,,,
4.0,2020,0.0,0.0,,,0.0
4.0,2021,0.0,0.0,,,0.0
4.0,2022,0.0,0.0,,,0.0
4.0,2023,0.1511627906976744,0.05128205128205128,1.5921218856625223,0.05567866021936241,0.3417761169243147
4.0,2024,0.2109090909090909,0.0,3.159781935484647,0.0007894363022254402,0.9542978156110281
4.0,≤2015,0.0,,,,
5.0,2017,,0.0,,,
5.0,2019,,0.0,,,
5.0,2020,,0.2222222222222222,,,
5.0,2021,,0.0,,,
5.0,2022,,0.0,,,
5.0,2023,0.0,0.0,,,0.0
5.0,2024,0.07017543859649122,0.018115942028985508,2.2065831110992984,0.013671598973981243,0.26620343064165874
5.0,≤2015,0.0,0.0,,,0.0
6.0,2017,,0.0,,,
6.0,2018,,0.0,,,
6.0,2019,0.0,0.0,,,0.0
6.0,2020,0.0,0.0,,,0.0
6.0,2021,0.0,0.0,,,0.0
6.0,2022,0.0,0.02631578947368421,-0.434463962110748,0.6680242204911575,-0.32588295722103877
6.0,2023,0.0,0.0,,,0.0
6.0,2024,0.0,0.012578616352201259,-0.3908064848589297,0.6520298593946374,-0.22478179271221352
6.0,≤2015,,0.0,,,
7.0,2018,0.0,0.0,,,0.0
7.0,2020,,0.0,,,
7.0,2021,0.0,0.05555555555555555,-0.24234305999998995,0.5957428245426585,-0.47588224966041653
7.0,2022,0.0,0.08571428571428572,-0.4324499820938683,0.6672928011076154,-0.5942450326942046
7.0,2023,0.0,0.017241379310344827,-0.5612904969296858,0.7127002405782348,-0.26337341611683235
7.0,2024,0.03125,0.013157894736842105,0.9005956320969668,0.18390167891365644,0.1254993606888106
7.0,≤2015,0.0,0.0,,,0.0
8.0,2016,0.0,,,,
8.0,2017,0.0,,,,
8.0,2018,0.0,,,,
8.0,2019,0.0,0.0,,,0.0
8.0,2020,,0.0,,,
8.0,2021,0.0,0.0,,,0.0
8.0,2022,0.0,0.0,,,0.0
8.0,2023,0.0392156862745098,0.0,0.7788566280509035,0.21803208772299004,0.39869441540120315
8.0,2024,0.13855421686746988,0.0,2.6355615604564857,0.004199909381907658,0.7628182726759637
8.0,≤2015,0.0,,,,
9.0,2016,,0.0,,,
9.0,2019,,0.0,,,
9.0,2020,0.0,0.0,,,0.0
9.0,2021,0.0,0.0,,,0.0
9.0,2022,0.0,0.09523809523809523,-1.2298800925361815,0.8906289949945501,-0.6274557729231908
9.0,2023,0.08333333333333333,0.0,1.4251647369210283,0.07705479351117414,0.585685543457151
9.0,2024,0.06666666666666667,0.0,1.8244549742392102,0.03404165872113243,0.5223148218060486
9.0,≤2015,,0.0,,,
