0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,1,0.671196041,0.337619356,0.57572486,-0.037905821,0.199352347,0.488064779,0.460701705,-0.057728282,0.019269776,0.45131733,0.148776534,0.438853417,0.134778207,0.153110695,0.444044482,0.189030059,0.504227747,0.212086818,0.16633089,0.191538024,0.37421675,0.105819168,0.001376163,0.424673016,0.317038604,0.364994689,0.353567213,0.16971346
1,0.671196041,1,0.463597342,0.337046067,0.057952177,0.446124572,0.258429143,0.447991371,-0.016297067,0.210001869,0.487647551,0.089783393,0.265702274,0.40620661,0.053542401,0.474392899,0.065535723,0.373836093,0.313750491,0.336379018,0.371621939,0.371128585,0.071931947,0.128253834,0.272492362,0.384869171,0.491785066,0.364086941,0.130432083
2,0.337619356,0.463597342,1,0.029693743,0.007966525,0.014587455,0.109283994,0.152749074,0.06454557,-0.014689128,0.527306975,0.058048728,0.180837223,0.022586139,-0.0047433,0.453973469,-0.026659433,0.436600538,0.211244329,-0.04217247,0.216248606,0.290657647,-0.018504027,-0.101720772,0.10696455,0.039567786,0.450327842,0.061485291,0.098264977
3,0.57572486,0.337046067,0.029693743,1,-0.07060259,0.387300758,0.657055526,0.424670065,-0.105732202,0.016589352,0.149885494,0.133693684,0.254919037,0.17864828,0.223129558,0.220497983,0.404123526,0.213987599,0.30393847,0.202171008,0.131498863,0.025791534,0.106114342,0.077131736,0.216732348,0.392653498,0.108110518,0.3900123,0.044680879
4,-0.037905821,0.057952177,0.007966525,-0.07060259,1,-0.051399608,0.004074225,-0.033503545,0.354191449,0.244405099,0.01925731,0.052650325,0.016433588,0.157562106,-0.089138045,-0.011721944,0.015220412,-0.023662432,-0.042847095,0.376531077,0.099615034,-0.014431952,0.325953302,0.348167666,-0.055938508,-0.000365488,0.075599498,-0.104558349,0.344353227
5,0.199352347,0.446124572,0.014587455,0.387300758,-0.051399608,1,0.298701397,0.339957032,-0.046533256,0.244874526,0.120855435,0.033693408,0.070786897,0.451269737,0.039932959,0.233414294,0.166414303,0.134193215,0.50120695,0.335301307,0.362184024,-0.028855772,0.011871261,0.271969478,0.101913642,0.338112799,0.150482734,0.247680821,-0.039995629
6,0.488064779,0.258429143,0.109283994,0.657055526,0.004074225,0.298701397,1,0.353708633,0.017307352,-0.0168161,0.267849955,0.339682648,0.606709473,0.126476426,0.098051359,0.219184757,0.464446556,0.328539482,0.256265464,0.118319898,0.103996892,0.09353954,0.267725069,0.059927476,0.249577524,0.299459397,0.145777404,0.343797921,0.230145703
7,0.460701705,0.447991371,0.152749074,0.424670065,-0.033503545,0.339957032,0.353708633,1,-0.012786791,-0.013177397,0.187334831,0.103250153,0.203628171,0.119461991,0.069252146,0.404614381,0.191768329,0.239881714,0.372413166,0.080107428,0.297787363,0.121994843,0.053006316,0.083180992,0.266862691,0.422263906,0.125194669,0.381183313,0.053506828
8,-0.057728282,-0.016297067,0.06454557,-0.105732202,0.354191449,-0.046533256,0.017307352,-0.012786791,1,-0.08271699,0.01337005,0.034417588,0.111371317,0.001054885,-0.150401598,-0.016614259,-0.04222575,-0.012693166,-0.000671035,-0.055432565,0.012810723,-0.02695921,0.165445908,-0.074892345,-0.04102136,-0.103979592,0.040335489,-0.057227679,0.161756126
9,0.019269776,0.210001869,-0.014689128,0.016589352,0.244405099,0.244874526,-0.0168161,-0.013177397,-0.08271699,1,0.168478118,-0.02960978,-0.050056147,0.314341067,-0.039996179,-0.027522354,0.099666056,-0.009475242,0.104498858,0.416689374,0.138102851,-0.008394791,0.014612878,0.564962416,-0.009160005,0.124754766,0.156312501,-0.065099542,0.002190114
10,0.45131733,0.487647551,0.527306975,0.149885494,0.01925731,0.120855435,0.267849955,0.187334831,0.01337005,0.168478118,1,0.206684079,0.365047858,0.177332444,-0.059628242,0.294448799,0.503655127,0.394746564,0.117887368,0.035197015,0.143587946,0.233674801,0.181859538,0.165997314,0.232159384,0.087417947,0.499768143,0.102079896,0.155672109
11,0.148776534,0.089783393,0.058048728,0.133693684,0.052650325,0.033693408,0.339682648,0.103250153,0.034417588,-0.02960978,0.206684079,1,0.262722936,0.045224352,0.045738303,-0.006826274,0.363164033,0.135101046,0.008278936,-0.00702671,0.038756591,0.009090703,0.469624103,0.084365648,0.082534645,0.137663823,0.176898934,0.063537724,0.259178292
